id,label
0,6
1,3
2,0
3,6
4,6
5,2
6,2
7,0
8,4
9,8
10,8
11,6
12,5
13,9
14,4
15,0
16,0
17,5
18,3
19,5
20,2
21,2
22,1
23,1
24,2
25,7
26,3
27,3
28,5
29,6
30,5
31,1
32,4
33,1
34,9
35,7
36,2
37,9
38,3
39,8
40,4
41,0
42,5
43,1
44,0
45,9
46,9
47,3
48,0
49,5
50,7
51,7
52,8
53,9
54,2
55,6
56,6
57,3
58,9
59,2
60,9
61,5
62,3
63,6
64,7
65,7
66,7
67,8
68,8
69,2
70,5
71,6
72,6
73,5
74,9
75,6
76,4
77,0
78,7
79,4
80,7
81,4
82,8
83,4
84,2
85,7
86,9
87,3
88,8
89,8
90,0
91,5
92,2
93,1
94,0
95,8
96,8
97,0
98,1
99,1
100,3
101,0
102,7
103,9
104,4
105,3
106,0
107,3
108,5
109,0
110,6
111,3
112,5
113,7
114,3
115,4
116,7
117,9
118,3
119,8
120,5
121,4
122,0
123,5
124,3
125,8
126,5
127,4
128,0
129,4
130,2
131,8
132,1
133,0
134,7
135,6
136,9
137,8
138,1
139,7
140,4
141,6
142,8
143,1
144,0
145,6
146,4
147,3
148,5
149,2
150,8
151,4
152,7
153,8
154,8
155,5
156,4
157,4
158,9
159,9
160,8
161,3
162,7
163,5
164,6
165,4
166,4
167,1
168,5
169,6
170,5
171,7
172,5
173,8
174,8
175,3
176,6
177,4
178,3
179,1
180,6
181,2
182,5
183,8
184,6
185,4
186,6
187,4
188,8
189,5
190,8
191,4
192,4
193,4
194,4
195,5
196,2
197,1
198,5
199,7
200,4
201,9
202,2
203,6
204,6
205,4
206,0
207,0
208,8
209,7
210,4
211,1
212,5
213,4
214,2
215,7
216,1
217,3
218,9
219,0
220,4
221,0
222,1
223,9
224,8
225,9
226,9
227,2
228,2
229,5
230,9
231,3
232,1
233,4
234,6
235,8
236,2
237,7
238,9
239,4
240,2
241,5
242,7
243,1
244,6
245,6
246,3
247,0
248,5
249,9
250,5
251,1
252,4
253,1
254,3
255,6
256,4
